spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta_mc,delta_mc_l_ci,delta_mc_r_ci,theta_mc,theta_mc_l_ci,theta_mc_r_ci,rho_mc,rho_mc_l_ci,rho_mc_r_ci,vega_mc,vega_mc_l_ci,vega_mc_r_ci
1.7858,1.0670,0.1415,0.1638,GEOMETRIC,0.7939,1.5954,0.9251,0.9128,0.9374,-0.0011,-0.0196,0.0217,0.0358,-0.1192,0.1907,-0.0479,-0.1832,0.0873
1.9769,1.0720,0.1031,0.1593,GEOMETRIC,0.9728,1.6087,0.9441,0.9321,0.9561,0.0078,-0.0299,0.0142,-0.0408,-0.2692,0.1875,-0.0529,-0.2022,0.0964
0.6843,1.0888,0.0224,0.1794,ARITHMETIC,0.0000,1.5434,0.0006,-0.0019,0.0031,-0.0001,-0.0014,0.0016,0.0002,-0.0707,0.0711,0.0009,-0.0082,0.0100
1.2162,1.1616,0.0041,0.3661,GEOMETRIC,0.2440,1.4882,0.8136,0.6740,0.9532,-0.0210,-0.1264,0.1685,0.3015,-41.2886,41.8917,0.1272,-0.3426,0.5971
1.8965,0.6623,0.1102,0.3312,GEOMETRIC,0.8928,1.5890,0.9584,0.9259,0.9909,0.0142,-0.1072,0.0788,0.0137,-0.5424,0.5698,-0.0661,-0.2530,0.1208
1.9532,0.8203,0.0057,0.4727,ARITHMETIC,0.9719,1.7784,0.9967,0.8901,1.1033,-0.0018,-0.2522,0.2558,0.0168,-36.3469,36.3805,0.0058,-0.4373,0.4489
0.5770,1.3739,0.1173,0.2909,ARITHMETIC,0.0018,1.6192,0.0158,-0.0079,0.0395,-0.0023,-0.0075,0.0120,0.0060,-0.1067,0.1187,0.0167,-0.0297,0.0630
1.6068,1.1889,0.0815,0.3295,GEOMETRIC,0.6156,1.5810,0.9381,0.8774,0.9987,-0.0003,-0.0820,0.0827,0.1732,-1.0211,1.3676,-0.0834,-0.3824,0.2156
1.2737,1.0413,0.1821,0.4114,ARITHMETIC,0.3564,1.7572,0.8539,0.7273,0.9805,-0.0570,-0.0990,0.2129,0.2315,-0.6555,1.1185,0.0847,-0.3126,0.4819
1.0334,0.9211,0.0296,0.3335,GEOMETRIC,0.0999,1.4431,0.6136,0.4847,0.7426,-0.0395,-0.1055,0.1845,0.2010,-4.2974,4.6993,0.1829,-0.2188,0.5847
0.7623,0.9832,0.1059,0.2293,GEOMETRIC,0.0039,1.4237,0.0513,0.0259,0.0767,-0.0066,-0.0123,0.0255,0.0160,-0.1581,0.1900,0.0419,-0.0396,0.1234
1.3358,1.3495,0.1627,0.3316,ARITHMETIC,0.4113,1.7761,0.8749,0.7804,0.9693,-0.0397,-0.0544,0.1338,0.2796,-0.4962,1.0555,0.0496,-0.3359,0.4351
1.2498,1.0687,0.1503,0.3195,ARITHMETIC,0.3169,1.7216,0.8845,0.8052,0.9637,-0.0487,-0.0450,0.1424,0.2792,-0.3831,0.9416,0.0640,-0.2515,0.3796
0.8034,0.8572,0.0349,0.4409,GEOMETRIC,0.0281,1.4238,0.2113,0.0983,0.3243,-0.0305,-0.0737,0.1347,0.0537,-2.4940,2.6015,0.1105,-0.0930,0.3140
0.6682,0.8266,0.1424,0.1234,GEOMETRIC,0.0000,1.3935,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7850,0.8910,0.0638,0.1393,GEOMETRIC,0.0001,1.3861,0.0032,0.0004,0.0061,-0.0003,-0.0020,0.0026,0.0009,-0.0309,0.0326,0.0035,-0.0114,0.0184
1.5127,0.9790,0.0918,0.2951,ARITHMETIC,0.5392,1.7241,0.9548,0.9059,1.0037,-0.0192,-0.0565,0.0950,0.1958,-0.6078,0.9994,0.0060,-0.2468,0.2587
0.8956,0.9425,0.1190,0.4368,GEOMETRIC,0.0667,1.4809,0.4155,0.2528,0.5783,-0.0518,-0.1015,0.2051,0.1175,-1.0928,1.3279,0.1599,-0.1719,0.4917
1.9963,1.2674,0.1353,0.2715,GEOMETRIC,0.9819,1.6692,0.9108,0.8711,0.9505,0.0201,-0.0826,0.0424,-0.0849,-0.6674,0.4975,-0.1038,-0.3971,0.1895
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,1.4199,0.9562,0.9481,0.9642,-0.0357,0.0220,0.0495,0.2756,0.1686,0.3826,0.0071,-0.0715,0.0856
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,1.5564,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,1.6895,0.5690,0.3639,0.7741,-0.0596,-0.1075,0.2267,0.2115,-1.4511,1.8741,0.2214,-0.2597,0.7024
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,1.6650,0.2798,0.1796,0.3801,-0.0403,-0.0325,0.1131,0.1032,-0.3009,0.5072,0.1590,-0.1073,0.4253
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,1.6230,0.5826,0.4777,0.6875,-0.0674,-0.0821,0.2169,0.1531,-0.6844,0.9906,0.1773,-0.1526,0.5072
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,1.4738,0.1964,0.0992,0.2935,-0.0454,-0.0768,0.1675,0.0350,-0.3365,0.4065,0.0851,-0.0684,0.2386
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,1.7316,0.6165,0.3582,0.8747,-0.0639,-0.1345,0.2623,0.2230,-1.6065,2.0525,0.2199,-0.3281,0.7679
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,1.8191,0.9515,0.8981,1.0049,0.0022,-0.1054,0.1011,-0.0252,-1.1031,1.0528,0.0016,-0.3478,0.3510
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,1.4575,0.0435,-0.0087,0.0957,-0.0088,-0.0246,0.0422,0.0089,-0.1736,0.1914,0.0270,-0.0360,0.0899
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,1.6694,0.9320,0.9218,0.9422,-0.0636,0.0462,0.0809,0.2258,0.1644,0.2871,0.0009,-0.0766,0.0784
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,1.5293,0.4754,0.2963,0.6545,-0.0594,-0.0941,0.2129,0.1396,-0.6694,0.9485,0.1560,-0.2067,0.5188
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,1.5987,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,1.7151,0.8658,0.7322,0.9995,-0.0828,-0.2249,0.3904,0.1403,-0.9384,1.2190,0.0878,-0.2253,0.4009
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,1.6012,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,1.4952,0.4538,0.3140,0.5937,-0.0541,-0.0729,0.1812,0.1409,-0.6224,0.9042,0.1653,-0.1758,0.5064
