volatility,predicted_vol
0.1452,0.1800
0.2012,0.2300
0.5088,0.2350
0.3384,0.2850
0.3341,0.1700
0.4025,0.2150
0.4342,0.3000
0.0765,0.1950
0.5382,0.5150
0.1475,0.1900
0.0813,0.1400
0.5024,0.3550
0.0711,0.1450
0.0661,0.2000
0.3871,0.3000
0.4763,0.2250
0.5355,0.1700
0.0718,0.2450
0.1583,0.4700
0.1815,0.2400
0.1890,0.1800
0.1663,0.1550
0.1358,0.2100
0.3233,0.2500
0.2042,0.2000
0.4971,0.2150
0.2145,0.2250
0.3051,0.2000
0.0628,0.1950
0.4121,0.3000
0.3989,0.3000
0.2370,0.1850
0.0934,0.1750
0.2687,0.2350
0.0715,0.2250
0.2787,0.5100
0.0532,0.2150
0.4331,0.2200
0.4955,0.2100
0.3223,0.2150
0.4854,0.2500
0.3742,0.2050
0.1852,0.2600
0.4889,0.4450
0.1583,0.4950
0.1491,0.4350
0.4567,0.2050
0.3825,0.1850
0.4132,0.4300
0.3211,0.1950
0.1368,0.2250
0.2804,0.2350
0.2278,0.2500
0.3598,0.2300
0.2482,0.2550
0.3189,0.2100
0.1183,0.2100
0.0870,0.2250
0.2958,0.1900
0.1391,0.2100
0.4355,0.2000
0.0629,0.1500
0.3844,0.2250
0.2103,0.2150
0.1762,0.1600
0.1112,0.1500
0.4748,0.2450
0.1436,0.1500
0.3075,0.1900
0.4641,0.1900
0.2280,0.1800
0.4515,0.2300
0.4292,0.1950
0.4414,0.5000
0.2150,0.2100
0.2832,0.1950
0.1930,0.2250
0.3543,0.1900
0.3324,0.2450
0.1145,0.1900
0.4971,0.5050
0.3618,0.2250
0.3702,0.1400
0.2600,0.2100
0.3362,0.2800
0.3433,0.1950
0.2557,0.1550
0.5226,0.3000
0.2466,0.2350
0.5344,0.3000
0.3492,0.1750
0.1283,0.2150
0.2383,0.1850
0.3964,0.2050
0.1160,0.1400
0.3735,0.2000
0.5478,0.3000
0.1272,0.1850
0.2274,0.2300
0.4794,0.2200
0.1350,0.1500
0.2213,0.1900
0.5164,0.1900
0.3842,0.2350
0.1772,0.1500
0.0993,0.2000
0.4634,0.3000
0.1377,0.2250
0.3553,0.2450
0.5246,0.2400
0.2733,0.1750
0.3098,0.1850
0.3982,0.1400
0.0849,0.2300
0.0925,0.2300
0.3261,0.3000
0.1264,0.2100
0.1331,0.2300
0.4744,0.2100
0.4494,0.2200
0.4822,0.1850
0.4091,0.2100
0.1068,0.2000
0.2317,0.1650
0.3694,0.2700
0.3083,0.3000
0.1762,0.4450
0.3923,0.3000
0.4410,0.2250
0.1716,0.1700
0.1530,0.1600
0.1098,0.1650
0.4328,0.1950
0.4581,0.2000
0.5347,0.1850
0.1677,0.1450
0.4666,0.2250
0.3598,0.4600
0.0786,0.1800
0.1467,0.1800
0.3727,0.1550
0.3417,0.1950
0.2319,0.1600
0.3633,0.2400
0.5329,0.3000
0.2354,0.2200
0.3187,0.3000
0.2328,0.1800
0.1671,0.4850
0.5075,0.3000
0.4258,0.2950
0.3468,0.1650
0.4068,0.3000
0.0863,0.2000
0.3194,0.1900
0.3335,0.1950
0.3775,0.3050
0.2884,0.1750
0.2916,0.2300
0.1632,0.2150
0.1134,0.2300
0.2079,0.2000
0.3694,0.5150
0.4887,0.2700
0.4393,0.2050
0.0828,0.1550
0.1083,0.1800
0.5452,0.5200
0.0981,0.1900
0.5097,0.4600
0.2963,0.4650
0.1698,0.2250
0.2239,0.1650
0.3650,0.3000
0.5310,0.4250
0.1282,0.2050
0.4690,0.3850
0.1204,0.2200
0.3149,0.2200
0.5306,0.4900
0.1414,0.2050
0.0510,0.2250
0.4700,0.1750
0.2867,0.1550
0.1508,0.1900
0.2390,0.2000
0.3862,0.2000
0.2088,0.2550
0.2053,0.2050
0.3204,0.2350
0.4902,0.3000
0.1869,0.1750
0.2725,0.3950
0.4169,0.1900
0.3055,0.2050
0.1426,0.1850
0.1645,0.1700
0.4700,0.2100
0.2521,0.2100
0.2289,0.1950
0.3913,0.2100
0.0506,0.2350
0.1382,0.1450
0.3014,0.5250
0.4669,0.4500
0.3901,0.2500
0.3474,0.2400
0.0897,0.1550
0.2348,0.2350
0.3414,0.2500
0.3917,0.4300
0.1385,0.2150
0.3803,0.1850
0.0691,0.1500
0.2929,0.3000
0.1183,0.1550
0.4805,0.3000
0.3121,0.4450
0.4102,0.5250
0.1878,0.1850
0.4853,0.1950
0.1458,0.2350
0.4869,0.3900
0.1477,0.1950
0.3969,0.4150
0.4388,0.4500
0.5171,0.3450
0.4748,0.2100
0.4483,0.1550
0.5017,0.2100
0.1623,0.1650
0.1100,0.1800
0.1066,0.2050
0.3022,0.2350
0.0859,0.1800
0.4549,0.3000
0.3202,0.3000
0.5063,0.2200
0.1494,0.1600
0.2507,0.1800
0.2566,0.3400
0.4048,0.1700
0.4629,0.1950
0.0985,0.1950
0.3173,0.2050
0.4420,0.5050
0.1797,0.1650
0.3361,0.2500
0.5029,0.2350
0.0645,0.3100
0.4027,0.2150
0.4484,0.4550
0.5040,0.2950
0.1741,0.2000
0.0906,0.1800
0.3545,0.2100
0.1854,0.2000
0.1871,0.1900
0.4449,0.1900
0.0851,0.2150
0.2569,0.1500
0.3562,0.2100
0.2329,0.1800
0.4640,0.2000
0.2507,0.3000
0.0835,0.2100
0.4463,0.2100
0.3833,0.2150
0.5176,0.2350
0.3730,0.2050
0.0738,0.2000
0.2900,0.2100
0.5201,0.2100
0.1859,0.2350
0.1747,0.1950
0.1988,0.1950
0.0686,0.2050
0.3178,0.1600
0.3973,0.2050
0.4811,0.3000
0.1534,0.1950
0.4878,0.1750
0.2879,0.2200
0.2138,0.1450
0.4485,0.2250
0.3214,0.2500
0.4134,0.5400
0.3637,0.2150
0.4064,0.1800
0.2073,0.2050
0.4156,0.3000
0.2488,0.3550
0.0502,0.2100
0.4679,0.4750
0.4954,0.3450
0.2316,0.2300
0.1572,0.2250
0.1891,0.2150
0.2861,0.2150
0.2152,0.2350
0.3726,0.2500
0.1073,0.3200
0.5274,0.3000
0.2172,0.2250
0.2529,0.2250
0.4960,0.2200
0.2254,0.2000
0.5296,0.2300
0.3630,0.1900
0.2908,0.2300
0.2804,0.3600
0.2175,0.2300
0.2291,0.2150
0.3349,0.2350
0.2213,0.1800
0.2889,0.1600
0.3060,0.1800
