spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.5000,1.5000,0.1200,0.3940,ARITHMETIC,0.5412,0.5378,0.5446
1.5000,1.5000,0.1200,0.1245,ARITHMETIC,0.5373,0.5370,0.5375
1.5000,1.5000,0.1200,0.4201,ARITHMETIC,0.5413,0.5376,0.5450
1.5000,1.5000,0.1200,0.1966,ARITHMETIC,0.5372,0.5365,0.5379
1.5000,1.5000,0.1200,0.1719,ARITHMETIC,0.5371,0.5365,0.5376
1.5000,1.5000,0.1200,0.1649,ARITHMETIC,0.5374,0.5369,0.5379
1.5000,1.5000,0.1200,0.2353,ARITHMETIC,0.5385,0.5374,0.5396
1.5000,1.5000,0.1200,0.2143,ARITHMETIC,0.5370,0.5362,0.5379
1.5000,1.5000,0.1200,0.3563,ARITHMETIC,0.5404,0.5378,0.5431
1.5000,1.5000,0.1200,0.3224,ARITHMETIC,0.5384,0.5362,0.5406
1.5000,1.5000,0.1200,0.4248,ARITHMETIC,0.5423,0.5382,0.5463
1.5000,1.5000,0.1200,0.1975,ARITHMETIC,0.5374,0.5366,0.5381
1.5000,1.5000,0.1200,0.5303,ARITHMETIC,0.5543,0.5481,0.5605
1.5000,1.5000,0.1200,0.3217,ARITHMETIC,0.5384,0.5363,0.5406
1.5000,1.5000,0.1200,0.3897,ARITHMETIC,0.5414,0.5377,0.5451
1.5000,1.5000,0.1200,0.3941,ARITHMETIC,0.5420,0.5386,0.5453
1.5000,1.5000,0.1200,0.1261,ARITHMETIC,0.5376,0.5373,0.5379
1.5000,1.5000,0.1200,0.1225,ARITHMETIC,0.5374,0.5372,0.5377
1.5000,1.5000,0.1200,0.2810,ARITHMETIC,0.5380,0.5365,0.5395
1.5000,1.5000,0.1200,0.3110,ARITHMETIC,0.5368,0.5349,0.5386
1.5000,1.5000,0.1200,0.1860,ARITHMETIC,0.5370,0.5363,0.5376
1.5000,1.5000,0.1200,0.1401,ARITHMETIC,0.5378,0.5374,0.5381
1.5000,1.5000,0.1200,0.3020,ARITHMETIC,0.5360,0.5343,0.5377
1.5000,1.5000,0.1200,0.3798,ARITHMETIC,0.5405,0.5374,0.5436
1.5000,1.5000,0.1200,0.1644,ARITHMETIC,0.5376,0.5371,0.5382
1.5000,1.5000,0.1200,0.1592,ARITHMETIC,0.5375,0.5370,0.5380
1.5000,1.5000,0.1200,0.5274,ARITHMETIC,0.5502,0.5440,0.5563
1.5000,1.5000,0.1200,0.4124,ARITHMETIC,0.5438,0.5399,0.5477
1.5000,1.5000,0.1200,0.0672,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.5408,ARITHMETIC,0.5570,0.5505,0.5636
1.5000,1.5000,0.1200,0.0542,ARITHMETIC,0.5375,0.5374,0.5375
1.5000,1.5000,0.1200,0.1825,ARITHMETIC,0.5374,0.5368,0.5381
1.5000,1.5000,0.1200,0.5087,ARITHMETIC,0.5458,0.5402,0.5513
1.5000,1.5000,0.1200,0.0902,ARITHMETIC,0.5376,0.5374,0.5378
1.5000,1.5000,0.1200,0.4774,ARITHMETIC,0.5438,0.5388,0.5489
1.5000,1.5000,0.1200,0.1223,ARITHMETIC,0.5376,0.5373,0.5379
1.5000,1.5000,0.1200,0.1396,ARITHMETIC,0.5374,0.5370,0.5378
1.5000,1.5000,0.1200,0.4423,ARITHMETIC,0.5458,0.5415,0.5501
1.5000,1.5000,0.1200,0.4977,ARITHMETIC,0.5526,0.5467,0.5585
1.5000,1.5000,0.1200,0.2804,ARITHMETIC,0.5391,0.5374,0.5407
1.5000,1.5000,0.1200,0.0692,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.2077,ARITHMETIC,0.5370,0.5362,0.5378
1.5000,1.5000,0.1200,0.0576,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.2246,ARITHMETIC,0.5382,0.5372,0.5392
1.5000,1.5000,0.1200,0.3797,ARITHMETIC,0.5408,0.5376,0.5440
1.5000,1.5000,0.1200,0.1826,ARITHMETIC,0.5372,0.5366,0.5379
1.5000,1.5000,0.1200,0.3760,ARITHMETIC,0.5399,0.5369,0.5429
1.5000,1.5000,0.1200,0.5137,ARITHMETIC,0.5532,0.5469,0.5595
1.5000,1.5000,0.1200,0.2831,ARITHMETIC,0.5359,0.5344,0.5375
1.5000,1.5000,0.1200,0.1536,ARITHMETIC,0.5378,0.5373,0.5383
1.5000,1.5000,0.1200,0.5114,ARITHMETIC,0.5497,0.5434,0.5560
1.5000,1.5000,0.1200,0.5229,ARITHMETIC,0.5522,0.5460,0.5584
1.5000,1.5000,0.1200,0.1175,ARITHMETIC,0.5375,0.5372,0.5378
1.5000,1.5000,0.1200,0.4998,ARITHMETIC,0.5516,0.5459,0.5573
1.5000,1.5000,0.1200,0.1961,ARITHMETIC,0.5376,0.5369,0.5384
1.5000,1.5000,0.1200,0.1141,ARITHMETIC,0.5373,0.5371,0.5376
1.5000,1.5000,0.1200,0.1090,ARITHMETIC,0.5374,0.5372,0.5377
1.5000,1.5000,0.1200,0.4297,ARITHMETIC,0.5437,0.5397,0.5478
1.5000,1.5000,0.1200,0.0942,ARITHMETIC,0.5376,0.5374,0.5378
1.5000,1.5000,0.1200,0.4316,ARITHMETIC,0.5456,0.5414,0.5498
1.5000,1.5000,0.1200,0.1698,ARITHMETIC,0.5375,0.5369,0.5380
1.5000,1.5000,0.1200,0.2594,ARITHMETIC,0.5379,0.5366,0.5392
1.5000,1.5000,0.1200,0.1215,ARITHMETIC,0.5375,0.5372,0.5378
1.5000,1.5000,0.1200,0.3763,ARITHMETIC,0.5400,0.5369,0.5431
1.5000,1.5000,0.1200,0.2789,ARITHMETIC,0.5372,0.5357,0.5386
1.5000,1.5000,0.1200,0.2469,ARITHMETIC,0.5383,0.5371,0.5395
1.5000,1.5000,0.1200,0.4523,ARITHMETIC,0.5415,0.5373,0.5457
1.5000,1.5000,0.1200,0.2795,ARITHMETIC,0.5380,0.5365,0.5396
